Género,epíteto específico,Color_1,Color_2,Color_3,Láminas,Poros,Dientes,Pliegues,Gasteroide,Plato-cuenco-olla,Pie-sombrero-no-tipico,Nido,Gelatinosas,Coral-coliflor,Embudo-c/s-hendidura,Porra,Porra con cabeza,Clavo,Repisa-leñosos,Costra,Falos hediondos,Otros,Líquenes,Myxomycetos
Tapinella,panuoides,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetrapyrgos,alba,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetrapyrgos,nigripes,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tricholoma,albobrunneum,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tricholoma,equestre,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tricholoma,populinum,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tricholoma,terreum,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tricholomopsis,rutilans,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volvariella,subxerophytica,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volvopluteus,gloiocephalus,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xeromphalina,tenuipes,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abortiporus,biennis,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Antrodia,xantha,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aporpium,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Arcyria,cinerea,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arcyria,denudata,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arcyria,obvelata,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Artomyces,pyxidatus,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aseroe,rubra,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Astraeus,hygrometricus,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
